Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
Krishca Strapp.,31.28,0,10.59,23.53,1.47,41.76,0.52,52.92,1.08,1.87,6.31,13.24,1.44,4.35,45.85,14.18,451.64,22.23,-125.59,4.12,,45.26,0,105.02,18.72,432.22,10.97,20.14,62.59,68.33
Effwa Infra,37.63,0,,18.67,1.68,169.01,0.38,45.46,1.64,1.96,0.05,13.8,1.99,3.9,45.71,10.45,556.07,26.49,636.47,3.73,,26.14,0,145.16,14.21,542.11,7.74,14.06,72.99,
Finelistings,11.75,0,,19.75,2.97,-3.87,0.21,40.47,1.27,1.54,1.75,1.74,1.7,12.26,45.48,17.79,20.31,7.96,-63.9,1.5,,-2.16,0,13.59,18.69,20.44,6.86,1.1,49.98,
Arkade,21.23,0,,21.73,2.45,144.38,0.22,46.9,0.23,1.12,0.03,122.8,1.75,6.34,45.21,53.74,2678.55,15.82,-58.51,4.15,,188.27,0,634.63,26.42,2632.18,8.08,71.23,70.82,
Saraswati,17.39,0,,14.96,1.41,28.56,0.67,58.89,0.64,3.05,5.34,29.53,3.04,7.65,45.18,16.94,527.97,12.33,,0.82,,1.56,0,601.52,6.72,494.35,8.92,43.49,74.75,
Page Industries,85.28,0.84,30.78,21.17,2,10.23,0.12,38.35,0.75,1.7,1.52,576.05,1.68,1.66,45.02,18.54,47995.44,53.05,138.13,10.41,10.31,0.04,0,4623.9,18.83,48131.64,516.46,184.85,44.29,17.68
Ganesh Housing,16.01,1.18,4.49,28.93,5.75,57.74,0.02,41.58,3.88,0.56,0.15,485.68,1.2,8.66,45.01,168.97,8016.2,12.12,46.98,9.05,0.22,33.77,0,909.57,70.08,8234.95,58.24,28.15,73.06,140.62
Guj. Themis Bio.,58.69,0.23,15.94,30.54,2.94,-5.59,0.01,33.76,2.74,0.88,7.04,54.68,0.96,2.3,44.99,272.81,3258.12,41.99,308.36,20.52,1.07,3.93,3.3,159.06,46.39,3263.51,5.02,2.77,70.86,121.98
P & G Health Ltd,39.48,0.98,15.77,22.7,2.39,-6.01,0.02,33.39,1.9,1.21,2.71,215.19,1.76,3.56,44.9,408.65,8322.98,25.88,48.53,7.43,-1.68,-6.37,0,1151.26,26.58,8557.78,121.08,9.56,51.82,2.13
Rapid Multimodal,13.41,0,,23.26,2.88,-10.5,0.43,46.31,2.88,9.33,,1.79,1.63,10.48,44.76,10.35,25.68,9.24,-66.49,0.33,,-1.25,0,71.82,3.84,24.01,6.39,2.01,73.47,
Hawkins Cookers,39.46,1.41,13.49,22.27,2.51,23.33,0.09,36.04,1.69,2.08,3.26,114.09,1.48,3.62,44.52,37.49,4354.06,26.15,91.1,4.3,2.61,3.64,0,1048.25,14.73,4511.05,215.76,31.36,56.03,19.82
R S Software (I),30.93,0.1,12.33,32.85,4.48,818.43,0.02,45.68,4.48,1.07,,21.05,1.15,3.59,44.35,141.25,656.04,23.86,196.66,10.08,1.53,84.57,0,67.22,34.22,677.57,8.25,1.32,40.67,350.18
Shukra Pharma.,15.74,1.49,5.08,24.27,3.97,312.64,0.05,44.71,3.81,0.98,16.26,18.61,1.33,7.17,44.25,78.88,281.92,12.38,-470.9,5.01,0.14,-20.49,0,57.59,34.5,288.74,4.29,3.16,50.96,196.1
Dynacons Sys.,27.04,0.04,9.88,10.91,1.39,34.3,0.23,41.17,1.22,2.07,16.29,57.6,3.14,5.72,44.24,9.77,1515.41,17.31,172.51,1.49,0.41,11.68,0,1049.82,7.85,1567.53,45.34,35.77,61.01,86.01
Premium Plast,19.58,,,16.45,1.74,200.63,0.23,40.68,0.67,1.61,3.07,4.78,2.47,8.21,44.13,4.96,98.37,9.58,,2,,2.17,,46.71,21.99,93.58,,5.06,,
Digikore Studios,23.71,0,5.24,24.5,6.43,114.65,0.21,38.78,6.43,1.17,,9.38,0.9,6.01,43.98,10.6,239.79,15.91,-27.81,5.14,0.27,30.55,0,44.96,28.6,231.15,15.06,8.72,66.55,29.09
Apar Inds.,47.41,0.52,10.15,9.2,1.54,16.49,0.12,26.83,1,1.81,4.67,830.22,2.3,3.88,43.96,3.73,38802.9,23.66,-2501.97,2.38,1.06,9.15,0,16399.62,9.49,38973.32,208.83,475.61,57.77,88.55
Waaree Energies,43.69,,,10.9,1.49,100.24,0.11,33.35,1.01,1.22,3.34,988.25,2.29,3.76,43.63,10.73,39906.26,22.44,,3.79,,68.83,,11397.61,13.82,43178.67,62.76,513.25,,
Pulz Electronics,24.96,0,7.04,23.14,3.89,22.26,0.01,32.87,2.01,1.31,1.6,8.24,1.22,5.49,43.41,183,208.95,17.87,168.07,4.62,0.95,3.61,0,46.51,21.95,214.65,7.59,0.29,69.66,133.13
PNGS Gargi FJ,50.53,0,28.55,26.92,4.22,251.59,0.07,34.1,0.53,1.61,1.37,17.65,1.08,2.69,43.38,167.29,899.99,31.22,-175.3,9.45,,194.87,0,100.55,28.3,950.33,21.5,2.67,70.85,183.57
Prudent Corp.,69.44,0.08,22.31,21.76,1.44,23.54,0.04,33.4,1.39,1.29,0.12,154.89,1.33,1.97,43.29,98.84,10973.56,46.76,94.03,12.47,1.59,37.13,0,889.09,23.95,11085.29,37.41,20.32,58.43,101.04
Marico,56,1.45,22.19,21.06,1.53,11.78,0.14,38.51,0.99,1.36,3.31,1518,1.85,2.42,43.08,28.05,84617.22,38.27,74.92,8.66,9.68,1.4,0.13,9819,21.16,85032.22,11.73,528,59.21,22.32
Inox India,51.64,0,15.24,16.71,1.3,28.06,0.02,32.71,0.46,0.96,1.19,191.57,1.81,2.6,43.06,36.36,10010.39,36.12,138.97,8.93,208.92,17.11,0,1120.18,22.22,10006.06,21.11,16.14,75,
TBO Tek,85.68,0,,5.5,1.1,43.61,0.39,46.05,1.1,0.38,,203.8,6.8,1.48,42.93,13.08,16823.27,58.86,86.87,12.54,1.86,30.83,0,1392.82,19.15,17466.89,19.39,210.46,44.41,
Ecos (India),42.15,0,,21.49,1.48,36.23,0.17,38.66,1.48,2.08,3.53,56.55,1.48,3.21,42.86,27.68,2573.38,26.82,142.92,4.66,,30.87,0,547.01,16.46,2550.01,10.42,29.77,67.75,
Uni Abex Alloy,19.21,0.75,5.8,24.54,1.87,38.95,0.17,36.4,1.03,1.25,2.09,34.14,1.28,7.18,42.78,70.97,651.84,12.59,34.58,3.68,0.63,0.95,0,178.07,26.34,655.7,172.86,19.43,63.62,39.8
Tata Elxsi,54.37,0.98,17.85,26.6,5.24,4.05,0.08,34.47,5.24,1.19,276.17,816.87,1.19,2.56,42.74,54.68,43799.29,36.05,92.82,12.13,2.45,9.27,0,3701.72,28.37,44910.13,131.17,205.78,43.91,-2.86
Macobs,65,0,,21.58,3.01,7.32,0.25,35.83,2.23,2.02,3.38,2.2,1.04,2.39,42.62,8.45,128.88,36.2,-127.61,6.33,,39.51,0,20.62,16.68,130.52,3.07,2.5,47.78,
Akzo Nobel,39.19,2.02,12.74,15.15,1.35,17.2,0.05,32.33,0.92,1.4,3.71,431.4,2.12,3.6,42.29,50.98,16374.02,24.21,62.33,4.21,2.28,3.5,0,3998.7,15.98,16836.82,94.73,60.4,74.76,52.54
Vdeal,20.76,0,,14.56,1.22,182.73,1.5,64.06,0.76,1.23,2.45,3.11,3.4,7.28,42.29,4.87,75.59,13.6,114.24,2.54,,7.55,0,26.22,21.09,66.51,9.49,9.41,66.97,
Artificial Elect,120.61,0,130.27,26.15,6,181.82,2.28,103.03,6,3.74,,0.27,2.6,1.21,42.11,,494.92,1207.12,-3462.07,154.28,24.06,970,0,3.21,12.15,495.23,2.39,0.57,30.16,5011.01
KRN Heat Exchan,66.26,0,,21.06,2.31,23.34,0.46,41.87,1.31,1.63,3.2,39.85,1.45,2.25,42.09,15.16,2743.25,42.7,-605.45,8.76,,24.95,0,307.97,19.19,2699.25,8.64,59.69,70.79,
DDev Plastiks,16.13,0.52,4.55,19.05,2.42,46.03,0.1,31.48,1.76,2.55,9.42,186.32,1.45,9.05,41.94,13.38,3075.16,10.78,42.4,1.28,,-7.15,0,2418.57,10.86,3085.67,18.01,66.27,75,49.28
Share India Sec.,14.29,0.6,3.45,18.1,3.28,27.28,0.24,34.46,3.14,0.63,0.33,446.66,1.42,14.16,41.8,7.21,4779.58,6.92,-161.71,3.95,0.19,42.74,37.09,1619.69,41.93,6395.3,25.03,402.75,50.43,6.43
Bulkcorp,23.22,0,,14.24,1.16,194.21,0.68,50.39,0.67,1.81,4.28,3.56,2.67,6.04,41.47,9.26,88.95,14.8,603.66,1.83,,17.44,0,45.18,10.38,82.65,6.43,6.35,72.26,
Boss Packaging,24.65,0,,15.5,2.66,0,0.15,30.84,1.08,1.87,2.68,1.01,1.44,5.88,41.38,13.64,25.18,16.25,-48.95,2.02,,18.62,0,12.17,12.74,24.57,3.18,0.66,71.35,
CRISIL,53.28,1.11,15.88,20.92,2.02,10.42,0.02,32.3,2.02,1.02,,669.5,1.4,2.58,41.36,325.12,35800.82,36.24,68.87,11.05,4.38,7.25,0,3264.61,27.31,36060.92,91.56,44.92,66.64,21.22
Fonebox,48.46,0,5.55,6.56,4.14,114.38,0.01,21.34,1.95,5.7,10.25,3.43,1.74,5.79,41.24,2.17,151.95,15.7,-51.53,0.56,,51.64,0,297.61,3.23,165.44,3.34,0.19,71.64,
Mefcom Capital,14.47,0,4.38,36.23,53,178.1,0.03,43.29,9.24,10,15.91,6.81,1.04,8.34,41.14,16.76,94.97,11.47,327.78,0.38,0.32,309.93,0,250.96,3.15,95.06,1.49,0.62,74.43,65.21
K.P. Energy,61.37,0.04,20.02,12.01,1.38,23.17,0.47,37.13,0.99,0.97,3.16,60.55,2.62,2.58,40.99,6.26,3820.13,35.87,8604.3,7.71,2.53,14.34,0,487.14,17.71,3756.65,9.08,87.04,45.01,214.57
Benares Hotels,30.35,0.29,7.73,26.21,5.27,25.84,0.03,31.12,5.18,0.87,4.04,36.52,1.04,4.69,40.56,132.84,1036.88,18.81,46.03,9.41,0.89,8.9,0,116.66,43.37,1097.47,280.92,3.81,61.19,39.68
Kore Digital,54.27,0,12.16,12.18,1.84,256.83,0.01,28.99,1.5,1.1,-0.45,16.47,1.28,2.73,40.52,56.85,820.58,34.16,-150.14,5.65,0.25,386.65,0,152.09,14.76,860.01,43.4,0.83,62.69,513.99
Brady & Morris,56.44,0,21.9,18.57,1.9,57.67,0.33,43.29,1.27,1.69,3.75,9.05,1.91,2.53,40.32,17.43,506.45,36.7,210.28,6.14,1.73,34.33,0,81.47,16.36,500.57,40.22,7.68,73.98,410.15
GP Eco,39.65,0,,13.43,1.53,90,0.67,47.36,1.12,2.6,-0.07,7.03,2.44,3.93,40.31,6,297.04,24.79,-68.72,2.08,,34.73,0,136.33,8.62,282.94,8.33,14.3,62.23,
Danlaw Tech.,41.26,0,15.71,18.36,2.32,119.52,0.52,47.46,1.38,1.74,3.39,22.04,2.09,3.51,40.21,13.48,961.78,26.76,223.03,4.5,0.32,20.27,0,211.89,16.77,954.02,45.25,30.18,61.88,140.28
Infosys,28.53,2.05,8.5,19.98,2.19,8.36,0.1,31.83,2.19,1.18,,26949,1.48,4.97,39.99,82.79,765141.34,18.12,36.11,4.95,2.57,2.85,0,157045,23.67,778136.34,64.92,8804,14.43,31.45
Jay Bee Laminati,32.8,0,,16.14,1.85,41.42,0.38,36.43,1.14,2.52,6.36,19.36,1.91,4.9,39.57,5.38,669.51,20.11,106.02,2.15,0.42,22.81,0,302.56,10.81,651.07,10.75,24.16,70.61,
Oracle Fin.Serv.,40.48,2.2,12.01,23.53,5.98,28.63,0.01,28.98,5.98,0.68,,2335.06,1.2,3.62,39.54,89.54,91496.57,27.74,55.02,14.58,4.2,15.52,0,6651.9,45.22,96991.8,269.46,42.96,72.69,176.84
V.L.Infraproject,15.29,0,,14.4,1.43,175.34,1.01,46.18,1.35,2.67,25.58,6.14,2.61,9.66,39.5,5.32,104.24,9.49,-44.05,0.79,,150.07,0,113.93,9.58,89.48,5.43,16.54,65.39,
Taylormade Renew,44.73,0,9.61,16.69,2.55,438.58,0.14,30.51,2.19,0.74,1.82,10.61,1.29,3.27,39.41,26.25,476.82,29.6,-45.46,10.02,0.81,136.99,0,46.9,34.33,470.06,9.56,7.05,61.75,-13.74
Sahaj Solar,44.65,0,,11.13,1.25,108.86,1.72,53.21,1.11,1.68,11.38,13.16,3.63,3.76,39.35,5.7,621.73,24.95,-60.6,2.87,,8.53,0,201.17,12.13,576.77,16.32,56.79,71.28,
Authum Invest,6.93,0,2.18,38.03,1.14,439.14,0.03,44.05,1.14,0.31,,4039.83,0.75,14.99,39.34,136.75,27913.23,6.65,2287.78,7.2,0.05,284.67,0,3881,106.99,27935.3,237.85,343.63,74.95,111.19
Sharda Motor,19.93,0.47,6.15,17.72,1.2,46.49,0.02,30,0.87,1.84,10.75,316.13,1.49,7.01,39.32,194.81,6003.22,12.56,81.51,2.2,0.74,4.2,0,2840.59,13.69,6244.19,106.33,23.67,64.31,123.58
Kesar India,230.81,0,79.49,15.44,1.41,1191.03,0.74,41.6,0.59,0.81,0.86,10.07,2.23,0.61,39.29,101.43,2425.87,166.61,4782.6,46.37,0.81,246.48,0,52.63,26.56,2440.39,4.07,21.72,74.99,1123.97
ROX Hi-Tech,11.34,0,2.6,19.99,2.36,38.55,0.23,36.41,1.61,1.66,3.7,21.24,1.15,12.03,39.26,9.98,263.3,8.17,-16.53,1.37,,32.05,0,176.06,18.06,242.06,9.3,21.41,58.94,
Focus Lighting,20.67,0.42,6.13,24.35,3.06,32.16,0.1,35.42,2.11,1.41,3.01,38.75,1.24,5.56,39.17,39.88,795.06,15.3,-57.48,3.45,0.64,17.56,0,227.39,20.65,784.78,5.92,12.85,56.09,-25.64
Revathi Equip,21.47,0,,15.58,1.3,133.61,0.3,35.3,0.69,1.07,1.66,31.07,1.93,6.91,39.14,7.5,678.95,14.09,31.99,3.13,,93.74,0,212.46,18.61,665.44,,30.99,63.84,
Piotex,10.5,0,,11.21,1.53,4.15,0.48,43.69,1.52,4.41,813.5,3.01,2.86,11.86,38.89,17.08,35.53,8.28,274.5,0.26,,37.73,0,118.46,3.22,31.13,8.45,4.46,65.95,
Angel One,19.71,1.2,4.92,10.86,1.39,29.03,0.59,43.29,1.39,0.41,,1316.4,3.41,10.95,38.7,9,19017.59,9.15,122.41,5,0.29,55.6,0,5336.49,38.79,26694.63,150.93,3135.25,35.61,28.76
Fineotex Chem,34.28,0.42,9.42,24.93,2.76,30.42,0.01,30.11,2.2,1.17,6.91,122.88,1.09,3.9,38.68,118.06,4199.85,24.73,98.98,7.32,0.87,12.69,0,578.64,26.28,4234.58,11.09,5.19,62.88,25.75
Spright Agro,41.14,0,11.06,32.04,11.67,10968.75,0.01,35.67,7.02,2,8.43,17.71,0.55,2.63,38.62,,765.4,39.91,-109.83,6.25,,1552.36,0,122.44,15.49,765.06,1.23,0.38,0,343
Sh. Ganesh Elas.,9.05,0,3.7,26.96,4.73,1223.53,0.15,34.72,3.62,3.91,16.74,2.25,1.1,16.74,38.58,35.75,17.09,5.7,14.83,0.67,,191.84,0,30.41,9.73,20.37,4.09,0.83,13.46,208.5
Vadilal Enterp.,14.06,0.04,20.3,3.18,0.6,2400,1.57,46.09,0.36,4.74,15.98,26,11.67,10.13,38.55,8.83,389.54,7.44,-473.61,0.34,0.1,13.54,0,1077.48,3.72,368.08,301.38,28.35,51.26,19.72
Faalcon Concepts,19.85,0,,13.25,1.93,18.71,0.6,39.96,1.06,1.21,1.66,2.03,2.2,7.12,38.55,7.63,46,13.26,-24.26,2.29,,41.62,0,18.51,18.53,42.32,4.16,4.17,65.56,
Ganesh Green,44.82,0,,18.33,1.88,143.75,0.94,43,1.25,1.43,4.14,19.89,2.08,3.57,38.52,6.28,954.73,25.73,-113.5,5.3,,88.66,0,170.17,20.76,901.64,10.92,53.71,73.42,
Netweb Technol.,153,0.08,32.47,17.24,2.49,84.65,0.02,29.32,1.58,1.65,6.45,96.83,1.04,0.93,38.43,22.43,14690.3,101.47,3298.65,16.09,1.61,81.49,0,919.67,14.18,14797.14,17.2,8.44,71.39,213.31
Dhanalaxmi Roto,7.79,0.7,1.7,17.19,2.27,40.21,0.03,28.43,2.25,2.79,480.4,10.67,1.44,32.36,38.4,18.77,56.91,3.76,10.75,0.54,0.21,-15.5,0,175.49,2.98,94.21,29.77,1.38,47.64,108.97
KPIT Technologi.,69.93,0.4,21.59,16.03,1.28,53.48,0.15,31.19,1.22,1.31,0.94,662.53,1.73,2.07,38.36,20.7,44253.84,35.25,84.63,8.28,1.25,27.88,0,5410.8,20.62,44800.9,26.54,349.25,39.47,46.71
Indrapr.Medical,26.13,1.14,7.59,19.53,1.86,43.44,0.07,29.12,1.82,1.95,3.26,138.23,1.34,5.56,38.35,38.93,3471.26,14.98,37.21,2.85,0.79,12.63,0,1286.05,16.58,3661.74,15.08,33.95,51,150.13
Tanla Platforms,19.14,1.56,4.92,20.23,2.2,5.26,0.03,31.71,2.2,1.45,,541.79,1.4,6.82,38.28,105.41,9696.38,12.62,32.02,2.53,0.22,10.72,0,4011.01,17.88,10153.37,40.29,69.68,44.12,-23.79
Rappid Valves,35.97,0,,17.76,1.48,797.83,2.2,79.73,0.74,1.57,2.87,4.13,3.21,4.25,38.23,4.95,162.45,21.83,,4.06,,122.62,0,36.51,20.13,148.07,,15.96,51.13,
P N Gadgil Jewe.,62.26,0,,14.56,1.55,178.88,0.66,38.52,0.46,5.7,9.64,154.19,2.65,2.58,38.16,5.69,9635.38,35.16,116.96,1.56,1.39,37.78,0,6032,4.43,9419.61,13.07,262.31,83.11,
Unique Organics,10.56,0,3.75,21.63,7.92,152.37,0.06,32.63,6.21,6.15,34.39,8,1.3,13.84,38.07,16.21,82.26,7.13,35.26,0.51,0.19,-12.55,0,167.04,5.68,84.73,13.44,1.46,34.64,121.25
Axita Cotton,28.14,0.89,7.9,22.7,3.1,-1.15,0.39,34.79,2.42,12.3,81.07,18.13,1.39,4.87,37.91,22.62,524.86,19.38,1098.59,0.49,0.25,80.04,0,1029.99,2.34,505.31,0.52,25.32,41.93,-4.62
Hoac Foods,45.22,0,,15.85,1.85,104,0.67,42.15,0.86,2.43,3.46,1.02,1.92,3.55,37.61,5,47.96,26.21,-80.98,2.95,,29.17,0,15.63,11.71,46.14,3.79,2.26,69.94,
TRF,13.71,0,,9.38,1.32,-51.83,3.06,,1.28,0.45,2.15,36.93,-0.81,5.44,37.59,3.78,970.06,17.52,20.5,3.48,0.7,-15.3,0,143.66,21.45,500.26,28.02,542.01,34.12,99.37
Oriana Power Ltd,70.97,0,26.33,19.57,1.67,413.64,1.26,60.97,1.54,1.38,25.47,54.24,1.9,2.03,37.54,13.53,4010.5,47.95,-79.82,10.05,,184.2,0,382.87,21.08,3849.08,28.33,183.52,61.41,533.63
Enser,46.28,0,9.43,20.31,3.98,290.37,0.26,34.71,3.98,1.78,,5.27,1,3.54,37.51,7.84,230.55,25.85,-363.32,5.29,,81.35,0,46.08,18.88,243.88,6.05,6.76,66.24,
Asian Paints,56.79,1.11,15.4,19.96,1.69,9.06,0.13,31.44,0.99,1.27,2.95,5079.84,1.49,2.44,37.5,32.87,288500.71,36.32,125.38,8.14,2.75,0.62,7.7,35282.15,20.29,287110.34,52.96,2474.38,52.62,-2.12
Thinking,16.25,0,,16.01,1.02,53.73,0.49,36.94,1.02,1.38,,3.09,1.75,8.9,37.25,8.17,57.13,11.27,47.27,1.96,,20.23,0,26.63,18.78,52.26,35.28,5.44,56.79,
Advait Infratech,70.17,0.09,23.26,13.84,1.29,173.96,0.81,36.57,1.1,1.33,6.54,25.78,2.15,2.25,37.23,6.24,1776.48,40.36,-314.88,7.3,1.19,97.62,0,241.2,16.94,1760.28,25.37,59.17,69.44,355.25
Supreme Power,39.85,0,7.55,17.4,2.06,29.63,0.08,30.45,1.69,1.33,5.71,14,1.09,3.5,37.22,10.55,591.68,29.54,-81.62,5.47,0.39,41.9,0,107.18,16.09,585.8,5.6,5.91,56.56,
Schneider Elect.,96.84,0,86.41,11.96,1.44,46.06,2.98,126.24,1.05,1.5,4.74,188.93,6.94,1.67,37.02,4.48,18857.26,55.86,195.68,7.93,0.7,21.22,0,2304.34,14.23,18273.21,7.76,631.35,75,144.89
Radiowalla,54.47,0,,18.94,2.57,50.98,0.16,45.97,2.57,1.89,,1.54,2.43,1.93,36.82,10.13,82.65,40.12,24570,5.37,,9.64,0,15.35,13.22,82.46,2.98,0.96,40.95,
Aesthetik,27.6,0,,18.06,1.97,343.36,0.57,40.05,1,2.19,5.57,5.01,1.85,4.99,36.82,9.81,145.86,18.75,78.87,2.28,,51.89,0,60.71,12.73,138.71,3.97,8.5,69.54,
Elixir Capital,4.43,0.85,1.77,25.06,15.62,296.77,0.49,49.95,3.63,0.42,0,19.36,1.69,35.59,36.75,22.06,96.89,2.7,-39.29,1.95,0.03,253.53,0,42.53,79.43,82.91,33.95,23.6,71.29,178.01
DCG Cables,27.04,0,,15.01,1.33,432.74,1.06,45.43,1,1.7,6.81,8.95,2.48,5.75,36.75,5.2,262.83,16.13,-24.31,2.37,,85.44,0,101.1,16.04,239.57,6.73,25.47,72.45,
Afcom,49.83,0,,22.8,3.51,89.52,0.18,28.46,3.05,1.34,0,25.13,1.07,2.83,36.65,18.19,1251.18,34.84,-51.27,8.38,,75.36,0,147.55,24.22,1235.8,14.12,18.48,42.73,
Jagjanani Text.,,0,228.15,1536,1,-102.54,1.62,,1,0,,-0.1,3.12,-0.54,2400,,18.22,-182.2,15.48,,,,0,0,,18.11,-0.06,0.13,24.56,-19.09
Vintron Info.,23.49,0,98.35,18.08,1.08,1408.66,2.65,,1.08,1.89,372.98,16.62,23.2,4.14,264.03,,393.19,23.6,-145.78,2.2,0.42,1579.07,0,174.12,9.55,382.69,2.12,10.51,73.93,693.47
Associated,32.92,0,,34.12,1.15,87.04,0.14,144.29,1.13,1.82,68.75,1.01,4.23,4.16,170,136,33.42,22.13,125.7,6.32,,49.86,0,5.38,28.07,33.99,10.86,0.1,68.79,
Nestle India,71.35,0.66,56.79,40.25,0.75,9.81,0.09,135.33,0.26,2.5,4.89,3175.86,2.92,1.93,169.08,38.72,224526.79,46.5,112.22,11.34,3.61,5.34,0,19785.96,23.89,224297.49,34.46,369.84,62.76,-2.87
Gretex Industrie,34.42,0,4.16,99.6,2.5,1470.31,0.04,215.2,1.71,3.09,8.34,10.05,2.16,3.93,149.51,54.48,346.72,25.29,202.88,11.11,0.14,42.28,0,31.13,1.22,345.92,23.7,1.06,64.48,478.69
Tuticorin Alkali,15.44,0,13.16,15.4,0.55,-36.42,0.1,165.67,0.31,0.67,4.9,67.48,6.04,6.44,146.32,19.53,1065.72,14.84,2315.36,3.6,0.5,-41.19,0,294.08,23.01,1057.66,7.09,8.07,75,-1.54
Kothari Indl,3.7,0,,-118.37,0.27,329.09,4.27,,0.23,0.27,5.94,41.74,6.39,23.82,129.9,16.29,189.72,4.22,-92.91,6.27,,162.32,0,25.13,-71.51,157.57,36.06,33.31,53.38,
Athena Global,0.63,0,0.65,97.62,0.3,919.24,0.43,217.68,0.3,0.07,52,206.53,1.06,101.09,124.49,21.11,212.45,0.98,-10.37,8.67,0,37.55,0,14.58,-129.56,126.47,146.81,86.35,61.44,13.59
Infronics Sys.,20.1,0,19.11,51.27,2,70.97,0.48,259.79,2,0.88,,2.12,2.2,7.79,123.82,14.41,42.99,13.39,46.01,12.14,0.33,-47.81,0,3.7,85.68,44.93,2.67,1.08,53.55,41.18
Franklin Indust.,3.38,0,3.6,59.52,2.32,368.58,0.02,112.29,1.93,2.88,18.46,15.51,1.21,31.32,119.6,,51.43,3.12,-53.14,0.73,0.02,176.92,0,69.95,23.16,51.19,0.54,0.25,0,57.39
Spectrum Foods,35.09,0,49.74,9.55,0.36,37.04,1.33,203.05,0.15,1.38,7.15,1.85,10.55,2.88,104.02,38.2,66.34,22.88,20.26,2.94,1.32,30.28,8.78,22.07,12.01,64.98,0.76,1.76,46.96,-13.98
Tips Music,62.96,0.8,48.15,47.16,2.86,44.51,0.02,79.41,2.86,0.91,,152.13,1.48,2.14,103.8,638.59,9872.97,47.84,87.39,34.99,0.5,30.55,0,282.62,66.32,9887.62,11.88,4.12,64.15,121.01
Waaree Renewab.,100.98,0.06,70.46,29.7,1.25,197.89,0.18,93.26,1.19,1.76,19.64,162.23,2.15,1.42,103.29,25.56,16444.86,68.97,370.03,16.79,0.7,155.65,0,983.91,23.61,16524.13,15.6,41.18,74.46,497.79
Remedium Life,11.25,0,6.08,2.11,1.02,308.26,1.34,122.77,0.95,2.6,56.94,23.23,36.1,15.55,99.5,12.72,307.37,6.22,-17.73,0.07,0.03,411.35,0,3788.94,0.7,251.19,0.58,57.7,1.11,-77.69
Colgate-Palmoliv,64.23,1.44,48.47,44.01,1.54,25.5,0.04,74.52,1.3,1.87,5.61,1413.96,1.62,2.13,96.8,389.13,89308.6,43.02,71.41,15.48,5.3,9.35,0,5853.46,34.01,90610.63,51.99,71.75,51,60.91
Positron,29.03,0,,35.5,1.81,312.68,1.31,155.03,1.48,5.44,29.92,8.79,4.37,4.89,95.26,21.5,248.52,19.52,137.11,1.85,,164.33,0,134.73,8.94,248.64,15.83,7.42,72,
Technvision Ven.,101.12,0,330.4,10.44,1.13,430.35,3.44,,1.13,1.49,,22.53,18.81,1.12,94.69,13.5,2360.6,86.95,379.6,11.12,5.64,44.29,0,213.92,12.36,2378.86,35.9,23.7,74.32,1695.97
Vuenow Infratech,47.68,0.41,45.24,18.49,1.24,2223.81,0.54,123.67,1.12,1.36,1.93,8.92,2.95,2.84,94.38,41.55,433.06,34.21,4486.8,8.54,0.45,26621.05,0,50.77,24.94,433.75,3.84,5.1,36.7,3404.78
Rajkamal Synth.,169.87,0,370.62,44.78,1.17,-7.69,1.09,600,0.97,0.24,2.4,0.24,3.05,0.61,94.12,25,40.04,160.16,-3995.55,48.14,8.73,144.12,0,0.83,30.12,39.96,0.37,0.12,26.18,141.7
Danish Power,19.66,,,35.2,1.47,339.1,0.31,85.26,0.75,3.07,6.55,38.07,2.42,7.24,93.41,15.49,755.77,13.03,,2.25,0.34,76.2,,332.48,16.79,748.28,,13.89,,
Mishtann Foods,4.1,0.01,2.54,76.56,8.42,593.17,0.08,98.73,8.09,2.85,28.27,345.96,0.82,24.29,88.74,97.5,1569.89,4.4,,1.11,,98.07,0,1369.17,26.04,1523.75,3.31,46.61,46.87,5.11
Shubhshree,35.82,0,,33.17,1.91,36.36,0.08,68.18,1.77,9.46,166.61,3.3,1.4,4.12,86.51,22,123.45,24.84,419.69,1.32,,60.61,0,94.15,4.49,124.11,8.57,0.6,73.45,
One Global Serv,14.04,0.64,7.69,31.86,1.65,254.95,0.02,65.56,1.65,2.82,,7.88,1.55,9.6,84.85,,105,9.76,273.87,1.65,0.15,124.34,0,64.05,16.8,105.89,11.09,0.34,29.51,211.76
Lloyds Metals,36.53,0.1,17.57,41.23,1.11,33.72,0.01,56.64,0.88,2.19,3.6,1397.37,1.06,3.74,78.27,210.94,50400.96,24.04,-144.23,7.03,0.27,46.91,18.17,7246.49,27.11,50958.47,28.85,36.13,63.49,88.59
Akiko,22.54,0,,33.19,3.25,-17.22,0.09,64.88,3.25,2.85,,3.75,1.96,5.99,76.11,171,88.13,16.41,-42.57,2.7,,-18.67,0,32.2,16.06,87.02,4.83,1.28,66.92,
